French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
train,train
endroit,place
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
première,first
côté,side
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
terre,Earth
donne,given
loin,far
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
